Time [s],Packet ID,MOSI,MISO
12.839989440000000,29660,0x1B,
12.840028719999999,29661,0x40,
12.840063360000000,29661,0x1B,
12.840102560000000,29662,0x40,
12.840137280000000,29662,0x1B,
12.840176480000000,29663,0x40,
12.840211200000001,29663,0x1B,
12.840250400000000,29664,0x40,
12.840285039999999,29664,0x1B,
12.840324320000001,29665,0x40,
12.840358960000000,29665,0x1B,
12.840398159999999,29666,0x40,
12.840432880000000,29666,0x1B,
12.840472080000000,29667,0x40,
12.840506800000000,29667,0x1B,
12.840546000000000,29668,0x40,
12.840580720000000,29668,0x1B,
12.840619920000000,29669,0x40,
12.840654560000001,29669,0x1B,
12.840693760000001,29670,0x40,
12.840728479999999,29670,0x1B,
12.840767680000001,29671,0x40,
12.840804960000000,29671,0x1B,
12.840844160000000,29672,0x40,
12.840878880000000,29672,0x1B,
12.840918080000000,29673,0x40,
12.840952800000000,29673,0x1B,
12.840992000000000,29674,0x40,
12.841026640000001,29674,0x1B,
12.841065840000001,29675,0x40,
12.841100559999999,29675,0x1B,
12.841139760000001,29676,0x40,
12.841174479999999,29676,0x1B,
12.841213679999999,29677,0x40,
12.841248400000000,29677,0x1B,
12.841287599999999,29678,0x40,
12.841322240000000,29678,0x1B,
12.841361440000000,29679,0x40,
12.841396160000000,29679,0x1B,
12.841435360000000,29680,0x40,
12.841470080000001,29680,0x1B,
12.841509280000000,29681,0x40,
12.841544000000001,29681,0x1B,
12.841583200000001,29682,0x40,
12.841617840000000,29682,0x1B,
12.841657039999999,29683,0x40,
12.841691760000000,29683,0x1B,
12.841730960000000,29684,0x40,
12.841765680000000,29684,0x1B,
12.841804880000000,29685,0x40,
12.841842160000001,29685,0x1B,
12.841881360000000,29686,0x40,
12.841916080000001,29686,0x1A,
12.841954800000000,29687,0xC0,
12.849107040000000,29688,0xA0,
12.849145040000000,29689,0xE0,
12.849182000000001,29690,0x05,
12.849218799999999,29690,0x20,
12.849255919999999,29690,0x00,
12.849293039999999,29690,0x00,
12.849330080000000,29690,0x00,
12.849367200000000,29690,0x80,
12.849404240000000,29690,0x00,
12.849441360000000,29690,0x76,
12.849478400000001,29690,0x00,
12.849515520000001,29690,0x80,
12.849552559999999,29690,0x06,
12.849589679999999,29690,0x19,
12.849626720000000,29690,0x00,
12.849663840000000,29690,0x00,
12.849700880000000,29690,0x00,
12.849738000000000,29690,0x00,
12.849775200000000,29690,0x4B,
12.849812480000001,29691,0xD0,
12.849849839999999,29692,0x40,
12.849884560000000,29692,0x1B,
12.849923759999999,29693,0x40,
12.849958400000000,29693,0x1B,
12.850000240000000,29694,0x40,
12.850034960000000,29694,0x1B,
12.850074160000000,29695,0x40,
12.850108880000001,29695,0x1B,
12.850148080000000,29696,0x40,
12.850182800000001,29696,0x1B,
12.850222000000000,29697,0x40,
12.850256720000001,29697,0x1B,
12.850295920000001,29698,0x40,
12.850330639999999,29698,0x1B,
12.850369840000001,29699,0x40,
12.850404480000000,29699,0x1B,
12.850443759999999,29700,0x40,
12.850478400000000,29700,0x1B,
